ID,0.25,0.5,1.0,2.0,4.0,6.0
A00147,True,True,True,True,True,True
A00198,True,True,True,True,True,True
A00360,True,True,True,True,True,True
A00367,True,True,True,True,True,True
A01054,True,True,True,True,True,True
A01072,True,True,True,True,True,True
A01077,True,True,True,True,True,True
A01148,True,True,True,True,True,True
A01157,True,True,True,True,True,True
A01181,True,True,True,True,True,False
A01237,True,True,True,True,True,True
A01258,True,True,True,True,True,True
A01285,True,True,True,True,True,True
A01324,True,True,True,True,True,True
A01349,True,True,True,True,True,True
A01356,True,True,True,True,True,True
A01365,True,True,True,True,True,True
A01399,True,True,True,True,True,True
A01411,True,True,True,True,True,True
A01422,True,True,True,True,True,True
A01457,True,True,True,True,True,True
A01467,True,True,True,True,True,True
A01531,True,True,True,True,True,True
A01615,True,True,True,True,True,True
A01627,True,True,True,True,True,True
A01676,True,True,True,True,True,True
A01680,True,True,True,True,True,True
A01681,True,True,True,True,True,False
A01694,True,True,True,True,True,True
A01729,True,True,True,True,True,True
A01736,True,True,True,True,True,True
A01747,True,True,True,True,True,True
A01759,True,True,True,True,True,True
A01796,True,True,True,True,True,True
A01806,True,True,True,True,True,True
A01815,True,True,True,True,True,True
A01824,True,True,True,True,True,True
A01834,True,True,True,True,True,True
A01860,True,True,True,True,True,True
A01889,True,True,True,True,True,True
A01906,True,True,True,True,True,True
A01929,True,True,True,True,True,True
A01939,True,True,True,True,True,True
A01950,True,True,True,True,True,True
A01990,True,True,True,True,True,True
A01996,True,True,True,True,True,True
A02005,True,True,True,True,True,True
A02008,True,True,True,True,True,True
A02049,True,True,True,True,True,True
A02074,True,True,True,True,True,True
A02079,True,True,True,True,True,True
A02088,True,True,True,True,True,True
A02099,True,True,True,True,True,True
A02133,True,True,True,True,True,True
A02232,True,True,True,True,True,True
A02244,True,True,True,True,True,True
A02270,True,True,True,True,True,True
A02306,False,False,False,False,False,True
A02312,True,True,True,True,True,False
A02350,True,True,True,True,True,True
A02376,True,True,True,True,True,True
A02436,True,True,True,True,True,True
A06045,True,True,True,True,True,True
A06264,True,True,True,True,True,True
A06342,True,True,True,True,True,True
A08064,True,True,True,True,True,True
A08086,True,True,True,True,True,True
A08095,True,True,True,True,True,True
A08141,True,True,True,True,True,True
A08225,True,True,True,True,True,True
A08230,True,True,True,True,True,True
A08240,True,True,True,True,True,True
A08307,True,True,True,True,True,True
A10002,True,True,True,True,True,True
A10008,True,True,True,True,True,True
A10037,True,True,True,True,True,True
A10133,True,True,True,True,True,True
A10157,True,True,True,True,True,True
A10165,True,True,True,True,True,True
A10203,True,True,True,True,True,True
A10300,True,True,True,True,True,False
A10307,True,True,True,True,True,True
A10309,True,True,True,True,True,True
A10388,True,True,True,True,True,True
A10397,True,True,True,True,True,True
A10398,True,True,True,True,True,True
A10410,True,True,True,True,True,True
A10413,True,True,True,True,True,True
A10447,True,True,True,True,True,True
A10459,True,True,True,True,True,True
A10465,True,True,True,True,True,True
A10480,True,True,True,True,True,True
A10487,True,True,True,True,True,True
A10506,True,True,True,True,True,True
A10508,True,True,True,True,True,True
A10510,True,True,True,True,True,True
A10514,True,True,True,True,True,True
A10574,True,True,True,True,True,True
A10582,True,True,True,True,True,True
A10628,True,True,True,True,True,True
A10654,True,True,True,True,True,True
A10656,True,True,True,True,True,True
A10695,True,True,True,True,True,True
A10763,True,True,True,True,True,True
A10859,True,True,True,True,True,True
A10883,True,True,True,True,True,True
A10913,True,True,True,True,True,True
A10935,True,True,True,True,True,True
A10936,True,True,True,True,True,True
A10938,False,False,True,True,True,True
A10939,True,True,True,True,True,True
A10940,True,True,True,True,True,True
A10951,True,True,True,True,True,True
A10970,True,True,True,True,True,True
A11005,True,True,True,True,True,True
A11030,True,True,True,True,True,False
A11128,True,True,True,True,True,True
A15031,True,True,True,True,True,True
A15096,True,True,True,True,True,False
A15110,True,True,True,True,True,True
A15155,True,True,True,True,True,True
A15167,True,True,True,True,True,True
A15172,True,True,True,True,True,True
A15182,True,True,True,True,True,True
A15205,True,True,True,True,True,True
A15210,True,True,True,True,True,True
A15211,True,True,True,True,True,True
A15212,True,True,True,True,True,True
A15243,True,True,True,True,True,True
A15306,True,True,True,True,True,True
A15324,True,True,True,True,True,True
A15336,True,True,True,True,True,True
A15347,True,True,True,True,True,True
A15380,True,True,True,True,True,True
A15385,True,True,True,True,True,True
A15421,True,True,True,True,True,True
A15423,True,True,True,True,True,True
A15491,True,True,True,True,True,False
A15497,True,True,True,True,True,True
A15561,True,True,True,True,True,True
A15580,True,True,True,True,True,True
A15583,True,True,True,True,True,True
A15590,True,True,True,True,True,True
A15602,True,True,True,True,True,True
A15612,True,True,True,True,True,True
A15639,True,True,True,True,True,True
A15644,True,True,True,True,True,True
A15655,True,True,True,True,True,True
A15657,True,True,True,True,True,True
A15702,True,True,True,True,True,True
A15763,True,True,True,True,True,True
A15776,True,True,True,True,True,True
A15810,True,True,True,True,True,True
A15828,True,True,True,True,True,True
A15829,True,True,True,True,True,True
A15834,True,True,True,True,True,True
A15856,True,True,True,True,True,True
A20093,True,True,True,True,True,True
A20097,True,True,True,True,True,True
A25050,True,True,True,True,True,True
A25088,True,True,True,True,True,False
A25100,True,True,True,True,True,True
A25160,True,True,True,True,True,True
A25186,True,True,True,True,True,True
A25193,True,True,True,True,True,True
A26050,True,True,True,True,True,True
A50013,True,True,True,True,True,True
A50043,True,True,True,True,True,True
A50089,True,True,True,True,True,True
A50119,True,True,True,True,True,True
A50173,True,True,True,True,True,False
A50191,True,True,True,True,True,True
A50207,True,True,True,True,True,True
A50225,True,True,True,True,True,True
A50229,True,True,True,True,True,True
A50273,True,True,True,True,True,True
A50321,True,True,True,True,True,True
A50324,True,True,True,True,True,True
A50330,True,True,True,True,True,True
A50367,True,True,True,True,True,False
A50446,True,True,True,True,True,True
A50517,True,True,True,True,True,True
A50585,True,True,True,True,True,True
A50669,True,True,True,True,True,True
A50676,True,True,True,True,True,True
A50692,True,True,True,True,True,True
A50773,True,True,True,True,True,True
A50774,True,True,True,True,True,True
A50779,True,True,True,True,True,True
A50844,False,True,True,True,True,True
A50947,True,True,True,True,True,True
A50955,True,True,True,True,True,True
A50993,True,True,True,True,True,True
A51031,True,True,True,True,True,True
A51054,True,True,True,True,True,True
A51082,True,True,True,True,True,True
A51149,True,True,True,True,True,True
A51174,True,True,True,True,True,True
A51196,True,True,True,True,True,True
A51233,True,True,True,True,True,True
A51236,True,True,True,True,True,True
A51240,True,True,True,True,True,True
A51322,True,True,True,True,True,True
A51344,True,True,True,True,True,True
A51368,True,True,True,True,True,True
A51372,True,True,True,True,True,True
A51378,True,True,True,True,True,True
A56009,True,True,True,True,True,True
A56059,True,True,True,True,True,True
A56081,True,True,True,True,True,True
A56131,True,True,True,True,True,True
A56136,True,True,True,True,True,True
A57708,True,True,True,True,True,True
A57711,True,True,True,True,True,True
A57980,True,True,True,True,True,True
A60034,True,True,True,True,True,True
A60077,True,True,True,True,True,True
A60096,True,True,True,True,True,True
A60121,True,True,True,True,True,True
A60138,True,True,True,True,True,True
A60145,True,True,True,True,True,True
A60152,True,True,True,True,True,True
A60158,True,True,True,True,True,True
A60166,True,True,True,True,True,True
A60185,True,True,True,True,True,True
A60203,True,True,True,True,True,True
